ticker,name,added_date,days_tracked,added_close,close,ret_since_add_pct,ret5_pct,ret10_pct,ret20_pct,rank,entry_bias,buy_zone_low,buy_zone_high,stop_loss,zone_status,heat_status,next_action,action_reason
3213.TWO,茂訊,2026-05-07,2,114.5,116.0,1.31,11.0,8.92,13.17,5,等拉回,113.48,116.16,102.74,買區內,正常,等拉回,價格仍高於或尚未穩定落入理想買區
3213.TWO,茂訊,2026-05-07,2,114.5,117.5,2.62,12.44,10.33,14.63,6,等拉回,113.48,116.16,102.74,買區上方,偏熱,等拉回,價格仍高於或尚未穩定落入理想買區
3158.TWO,嘉實,2026-05-07,2,89.0,89.0,0.0,-0.34,-1.11,-0.89,58,等轉強,90.17,90.85,87.33,買區下方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
3158.TWO,嘉實,2026-05-07,2,89.0,89.0,0.0,-0.34,-1.11,-0.89,56,等轉強,90.17,90.85,87.33,買區下方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
6996.TWO,力領科技,2026-05-07,2,189.0,188.0,-0.53,8.36,9.62,18.07,27,等轉強,175.76,178.95,164.45,買區上方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
6996.TWO,力領科技,2026-05-07,2,189.0,185.0,-2.12,6.63,7.87,16.19,47,等轉強,175.76,178.95,164.45,買區上方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
3556.TWO,禾瑞亞,2026-05-07,2,52.3,52.8,0.96,4.76,-0.38,17.99,49,等轉強,51.28,52.86,46.01,買區內,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
3556.TWO,禾瑞亞,2026-05-07,2,52.3,52.6,0.57,4.37,-0.75,17.54,49,等轉強,51.28,52.86,46.01,買區內,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
6292.TWO,迅德,2026-05-07,2,50.8,52.0,2.36,15.3,11.35,17.38,10,等拉回,48.71,50.84,44.45,買區上方,偏熱,等拉回,價格仍高於或尚未穩定落入理想買區
6292.TWO,迅德,2026-05-07,2,50.8,51.9,2.17,15.08,11.13,17.16,15,等拉回,48.71,50.84,44.45,買區上方,偏熱,等拉回,價格仍高於或尚未穩定落入理想買區
