date,ticker,name,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,group,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2399.TW,映泰,34.2,7.38,40.45,14210362,14807176,31.74,26.9,25.12,-9.88,7.76,11,2,TREND,進攻優勢區,中段延續中,theme,,-3.53,,8.4,0.96,,,,,,,,,,,,,,,,,
2026-04-13,2399.TW,映泰,33.0,-2.37,26.2,9075963,14703405,32.08,27.02,25.22,-13.04,2.87,8,0,TREND,進攻優勢區,中段延續中,theme,,-3.51,,12.82,0.62,,,,,,,,,,,,,,,,,
2026-04-14,2399.TW,映泰,33.7,-2.32,28.38,11328083,14165516,32.45,27.16,25.33,-11.2,3.84,8,0,TREND,進攻優勢區,中段延續中,theme,,2.12,,8.71,0.8,,,,,,short_attack,,,,,,,,,,,
2026-04-15,2399.TW,映泰,37.05,-2.37,36.46,23855348,14736085,32.95,27.35,25.45,-2.37,12.45,11,4,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,9.94,,21.28,1.62,,,,,,short_attack,3.0,投機偏高,,,,,,,,,
2026-04-16,2399.TW,映泰,35.0,-1.27,25.0,35687392,15727498,33.3,27.52,25.56,-7.77,5.11,11,1,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,-5.53,,16.47,2.27,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-17,2399.TW,映泰,35.25,3.07,14.45,11550866,15858499,33.52,27.69,25.67,-7.11,5.16,8,0,TREND,進攻優勢區,中段延續中,theme,,0.71,,10.68,0.73,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-20,2399.TW,映泰,38.15,15.61,12.7,26063092,15185626,33.74,27.88,25.82,0.0,13.09,14,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,theme,,8.23,,12.87,1.72,,,,,,short_attack,3.0,投機偏高,,,,,,,,,
2026-04-21,2399.TW,映泰,41.95,24.48,12.77,16827261,13413443,33.97,28.14,25.98,0.0,23.48,12,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,theme,,9.96,,21.59,1.25,,,,,,short_attack,4.0,投機偏高,,,,,,,,,
2026-04-22,2399.TW,映泰,40.2,8.5,17.2,40111706,14964619,34.27,28.37,26.14,-4.17,17.31,14,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,theme,,-4.17,,5.93,2.68,,,,,,short_attack,4.0,投機偏高,7.57,劇烈,,,,,,,
2026-04-23,2399.TW,映泰,39.7,13.43,28.48,31812095,16079822,34.71,28.59,26.29,-5.36,14.38,15,2,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,-1.24,,11.99,1.98,,,,,,short_attack,2.0,正常,8.29,劇烈,,,,,,,
2026-04-24,2399.TW,映泰,42.05,19.29,33.28,25330127,17158461,35.23,28.86,26.46,0.0,19.35,12,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,theme,,5.92,,22.95,1.48,,,,,,short_attack,7.0,疑似炒作風險高,8.03,劇烈,急拉爆量型,短線急漲、波段急漲、波動劇烈,"短線急漲,波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2.0,2.0,3.0,1.0
