ticker,name,group,layer,enabled
3057.TW,喬鼎,theme,short_attack,true
2495.TW,普安,theme,short_attack,true
2399.TW,映泰,theme,short_attack,true
2465.TW,麗臺,theme,short_attack,true
5386.TWO,青雲,theme,short_attack,true
3013.TW,晟銘電,theme,short_attack,true
2374.TW,佳能,theme,short_attack,true
3019.TW,亞光,theme,short_attack,true
2388.TW,威盛,theme,short_attack,true
8111.TWO,立碁,theme,short_attack,true
3450.TW,聯鈞,theme,short_attack,true
3324.TWO,雙鴻,theme,short_attack,true
3017.TW,奇鋐,theme,short_attack,true
6669.TW,緯穎,theme,short_attack,true
2382.TW,廣達,theme,short_attack,true
3231.TW,緯創,theme,short_attack,true
2356.TW,英業達,theme,short_attack,true
4919.TW,新唐,theme,short_attack,true
6182.TWO,合晶,theme,short_attack,true
2312.TW,金寶,theme,short_attack,true
5347.TWO,世界,theme,short_attack,true
2330.TW,台積電,core,midlong_core,true
2317.TW,鴻海,core,midlong_core,true
2454.TW,聯發科,core,midlong_core,true
2303.TW,聯電,core,midlong_core,true
2308.TW,台達電,core,midlong_core,true
3711.TW,日月光投控,core,midlong_core,true
2881.TW,富邦金,core,midlong_core,true
2882.TW,國泰金,core,midlong_core,true
2884.TW,玉山金,core,midlong_core,true
2886.TW,兆豐金,core,midlong_core,true
2891.TW,中信金,core,midlong_core,true
2892.TW,第一金,core,midlong_core,true
8064.TWO,東捷,core,midlong_core,true
1301.TW,台塑,core,midlong_core,false
0050.TW,元大台灣50,etf,midlong_core,true
00878.TW,國泰永續高股息,etf,midlong_core,true
0052.TW,富邦科技,etf,midlong_core,true
00631L.TW,元大台灣50正2,etf,short_attack,false
00929.TW,復華台灣科技優息,etf,midlong_core,false
3014.TW,聯陽,satellite,midlong_core,true
3491.TWO,昇達科,satellite,midlong_core,true
3661.TW,世芯-KY,satellite,midlong_core,true
3443.TW,創意,satellite,midlong_core,true
6147.TWO,頎邦,satellite,midlong_core,true
3035.TW,智原,satellite,midlong_core,true
5274.TWO,信驊,satellite,midlong_core,true
6962.TW,奕力-KY,satellite,midlong_core,true
2340.TW,台亞,satellite,midlong_core,true
2464.TW,盟立,satellite,midlong_core,true
00679B.TWO,元大美債20年,etf,defensive_watch,true
00687B.TWO,國泰20年美債,etf,defensive_watch,true
00772B.TWO,中信高評級公司債,etf,defensive_watch,true
00773B.TWO,中信優先金融債,etf,defensive_watch,true
2412.TW,中華電,core,midlong_core,true
