ticker,name,group,enabled
3057.TW,喬鼎,theme,true
2495.TW,普安,theme,true
2399.TW,映泰,theme,true
2465.TW,麗臺,theme,true
5386.TWO,青雲,theme,true
3013.TW,晟銘電,theme,true
2374.TW,佳能,theme,true
3019.TW,亞光,theme,true
2388.TW,威盛,theme,true
8111.TWO,立碁,theme,true
3450.TWO,聯鈞,theme,true
3324.TWO,雙鴻,theme,true
3017.TW,奇鋐,theme,true
6669.TW,緯穎,theme,true
2382.TW,廣達,theme,true
3231.TW,緯創,theme,true
2356.TW,英業達,theme,true
4919.TW,新唐,theme,true
2330.TW,台積電,core,true
2317.TW,鴻海,core,true
2454.TW,聯發科,core,true
2308.TW,台達電,core,true
3711.TW,日月光投控,core,true
2881.TW,富邦金,core,true
2882.TW,國泰金,core,true
1301.TW,台塑,core,false
0050.TW,元大台灣50,etf,true
0052.TW,富邦科技,etf,true
00631L.TW,元大台灣50正2,etf,false
00929.TW,復華台灣科技優息,etf,false
3014.TW,聯陽,satellite,true
3661.TW,世芯-KY,satellite,true
3443.TW,創意,satellite,true
5274.TW,信驊,satellite,true
6147.TWO,頎邦,satellite,true
3035.TW,智原,satellite,true
